N1;N314;N279;N312;D1806;D1801;N345;D1811;D1812;D1802;D1803;N18;N133;N346_old;D3_1;N350;D3;N134;N347;N138;N139;N559;N560;N561;N562;N1_1;D1804;N557;D40;D41;N314_2;N346;N459;N10;D3101;D3217;N1002;D1752;N279_1;N1128;N1030;N14;N1_2;D40_2;D41_2;N1158;D428;N279_2;D3_2;D09;N1626;N269_1;N269_2;D85;D306;N279_3;IsMerge;IsDouble;FID_Entity;N2043;N2047;RC;RN;D428_1;N2218;FID_Filial_no_head;N2260;SYNC;D85_SYNC;D85_TCUN;D428_1P
0;0;0   ;0;False;;;True;False;;; ;False;;;False;;;;;;False;False;False;False;;;False;;;;;;;;False;;;;;;;;;;False;0;;;0;;0;0;01.01.1900 0:00:00;;;0;0;;;;;;;;;;;;;
1;666;8601;1;False;;86;True;True;;;Инспекция МНС России по г.Ханты-Мансийску;False;;;False;860101001;8601003106;25.02.2000 0:00:00;271  94769;271  31258;True;False;True;False;0;;False;30.07.1990 0:00:00;01.02.2002 0:00:00;666;0014707;;;;False;;01.02.2002 15:30:00;8601;;;;;30.07.1990 0:00:00;;True;0;8601;860101001;0;;0;382;11.07.2007 19:06:00;09.07.2014 8:11:00;;0;0;;;;;;;;;0;;;;
2;909466;0274;1;False;;;False;False;;;ТОРМ в Ленинском районе г. Уфы;False;;;False;027532001;0274034097;;;;True;False;True;False;0;;False;;;909466;;;;;False;;;;;;;;;;True;0;0275;027532001;0;;0;382;11.07.2007 19:06:00;05.10.2016 9:26:00;;0;0;;2;;;;;;251002;0;;;;
3;1010734;8601;1;False;;;False;True;;;Межрайонная ИФНС России №5 по Республике Алтай;False;;;False;041101001;0411131507;;(38822) 92-999 "горячая;;False;False;True;False;0;;False;;;1010734;;;;;False;;;;;;;;;;True;0;0411;041101001;0;;0;382;11.07.2007 19:06:00;03.09.2015 12:36:00;;0;0;;;;;;;;;;;;;
4;627122;8601;1;False;;;False;True;;;Инспекция МНС России по Г.ЭЛИСТА;False;;;False;081401001;;;(847-22) 5-62-14;;False;False;True;False;0;;False;;;627122;;;;;False;;;;;;;;;;True;0;0814;081401001;0;;0;382;11.07.2007 19:06:00;07.04.2014 12:37:00;;0;0;;;;;;;;;;;;;
5;1011275;8601;1;False;;;False;True;;;ИФНС России №5 по г. Краснодару;False;;;False;231201001;2312019515;;(861) 992-07-45, (861 )9;;False;False;True;False;0;;False;;;1011275;;;;;False;;;;;;;;;;True;0;2312;231201001;0;;0;382;11.07.2007 19:06:00;07.04.2014 12:37:00;;0;0;;;;;;;;;;;;;
6;0;8601;1;False;;;False;True;;;Инспекция МНС России по Ломоносовская тер. г.Архангельска;False;;;False;;;;;;False;False;True;False;0;;False;;;0;;;;;False;;;;;;;;;;True;0;8601;;0;;0;382;11.07.2007 19:06:00;07.04.2014 12:37:00;;0;0;;;;;;;;;;;;;
7;1011821;8601;1;False;;;False;True;;;ИФНС России по Советскому району г. Воронежа;False;;;False;366501001;3665047950;;8-800-222-22-22; 473-260;;False;False;True;False;0;;False;;;1011821;;;;;False;;;;;;;;;;True;0;3665;366501001;0;;0;382;11.07.2007 19:06:00;21.12.2017 15:31:00;;0;0;;;;;;;;;;;;;
8;1012056;8601;1;False;;;False;True;;;ИФНС России по г.Кургану;False;;;False;450101001;4501111870;;8-35-22-49-12-11;;False;False;True;True;0;;False;;;1012056;;;;;False;;;;;;;;;;True;0;4501;450101001;0;;0;382;11.07.2007 19:06:00;07.04.2014 12:37:00;;0;0;;;;;;;;;;;;;
9;1012198;8601;1;False;;;False;True;;;Межрайонная ИФНС России №22 по Московской области;False;;;False;503201001;5032233705;;8-800-222-22-22;;False;False;True;True;0;;False;;;1012198;;;;;False;;;;;;;;;;True;0;5032;503201001;0;;0;382;11.07.2007 19:06:00;22.08.2016 9:19:00;;0;0;;;;;;;;;;;;;
